INFO 2026-03-18 19:12:38,187 autoreload Watching for file changes with StatReloader
WARNING 2026-03-18 19:13:31,438 log Not Found: /
WARNING 2026-03-18 19:13:31,440 basehttp "GET / HTTP/1.1" 404 179
INFO 2026-03-18 19:15:29,262 autoreload Watching for file changes with StatReloader
WARNING 2026-03-18 19:15:34,901 log Not Found: /
WARNING 2026-03-18 19:15:34,903 basehttp "GET / HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:31,277 log Not Found: /
WARNING 2026-03-18 19:17:31,279 basehttp "GET / HTTP/1.1" 404 179
INFO 2026-03-18 19:17:36,847 basehttp "GET /admin HTTP/1.1" 301 0
INFO 2026-03-18 19:17:36,926 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2026-03-18 19:17:43,767 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4178
WARNING 2026-03-18 19:17:43,806 log Not Found: /static/admin/css/base.css
WARNING 2026-03-18 19:17:43,811 basehttp "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,815 log Not Found: /static/admin/css/dark_mode.css
WARNING 2026-03-18 19:17:43,819 log Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-03-18 19:17:43,819 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,823 log Not Found: /static/admin/js/theme.js
WARNING 2026-03-18 19:17:43,824 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,826 log Not Found: /static/admin/css/login.css
WARNING 2026-03-18 19:17:43,828 log Not Found: /static/admin/css/responsive.css
WARNING 2026-03-18 19:17:43,828 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,830 basehttp "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,830 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-03-18 19:17:43,908 log Not Found: /static/admin/css/nav_sidebar.css
